vol,cid,cite,abbrev,already_resolved,is_self_ref,author_name,work_title,context_before
5,ch022,lib. 5 cap. 5,lib,False,False,Robert Bellarmine,,"distinction?  Bellarmine considers this testimony in three places, lib. 1 cap. 18, lib. 1 cap. 19,"
5,ch024,lib. 1 cap. 15,lib,True,False,,,faith is nothing but a real assent unto the catholic doctrine or divine revelation: De Justificat.
7,ch006,lib. 1 cap. 7,lib,True,False,Socrates Scholasticus,Ecclesiastical History,"we mentioned before a re-admission unto church communion, as Acesius speaks expressly in Socrates,"
7,ch008,lib. 3 cap. 32,lib,False,False,Eusebius of Caesarea,,"iven us by Hegesippus, who lived in the next age after them, as his words are recorded by Eusebius,"
7,ch014,Orat. 1,orat,False,False,,,unto them who publicly taught philosophy; to which purpose the words of Themistius are remarkable:
7,ch015,lib. 27 cap. 6,lib,False,False,,,"ody and scandalous conflict between Damasus and Ursicinus whether of them should be bishop of Rome,"
8,ch015,lib. ii,lib,False,False,,,"atry is the yielding unto a creature the service and worship due to the Creator, Rainold. de Idol.,"
8,ch015,lib. i,lib,True,False,Augustine of Hippo,Eighty-Three Questions,"la"">Idololatrae dicuntur Qui similacris eam servitutem exhibent, quae debertur Deo,</span>"" August,"
8,ch015,lib. ii,lib,False,False,,,"."" To render glory to the creature as to God is idolatry, say the Papists, Bell, de Ecclea Triumph,"
8,ch015,lib. i,lib,False,False,Gregory of Nazianzus,,"d is idolatry, say the Papists, Bell, de Ecclea Triumph, lib. ii. cap. 24; Greg. de Valen. de Idol,"
8,ch015,lib. 5,lib,False,False,,,"are conjurations, seditions, private societies — things no way conducing to monarchy,"" Hist. Rom.,"
8,ch015,lib. ii,lib,False,False,Cicero,,"d that civil society which men under the same government do and ought to enjoy. So Cicero tells us,"
8,ch015,lib. v,lib,False,False,,,"they worshipped an ass's head; which impious folly — first fastened on the Jews by Tacitus, Hist.,"
8,ch015,"lib. 4, cap. 19",lib,True,False,Theodoret of Cyrrhus,Ecclesiastical History,"there acted, did outgo what before had been done by the Pagans. See Theodoret, Ecclesiastes Hist.,"
8,ch015,lib. 3,lib,True,False,Socrates Scholasticus,Ecclesiastical History,"peaceable; offended only with them who would offer violence to others, Socrates Ecclesiastes Hist.,"
8,ch015,lib. vii,lib,False,False,,,"granted liberty to all sects, but Manichees, Photinians, and Eunomians, Sozom. Ecclesiastes Hist.,"
8,ch015,lib. iii,lib,True,False,Irenaeus of Lyon,Against Heresies,"and Paganism, was; saying, ""Let us depart, lest the building fall on us where Cerinthus is,"" Iren.,"
8,ch015,lib. iii,lib,True,False,Eusebius of Caesarea,Ecclesiastical History,"st the building fall on us where Cerinthus is,"" Iren., lib. iii. cap. 3; Euseb. Ecclesiastes Hist.,"
8,ch015,lib. iv,lib,True,False,Eusebius of Caesarea,Ecclesiastical History,"he knew him, or acknowledged him, his answer was, ""Yea, to be the first-born of the devil,"" Euseb.,"
8,ch015,lib. iii,lib,True,False,Irenaeus of Lyon,Against Heresies,"atius's epistles are full of the like expressions. Irenaeus says, he would have no words with them,"
8,ch015,Epist. iii,epist,True,False,Cyprian of Carthage,Letters,"self. Cyprian cries out, ""Nulla cum talibus convivia, nulla colloquia, nulla commercia misceantur,"""
8,ch015,Epist. ad Phil,epist,False,False,,,"η τὰ μὴ εἰδότα τὸν Κύριον καὶ Θεὸν, ἀλλ ἐχθοὺς μὲν ἡγεῖσθαι καὶ χωρίζεσθαι ἀπ αὐτῶν, says Ignatius,"
8,ch015,lib. ii,lib,False,False,Gregory of Nazianzus,,"t credendi quod nolim, aut quod velim non credendi?</span>""  And long after these, Gregory of Rome,"
8,ch015,Epist. lii,epist,False,False,Gregory of Nazianzus,,"i quod nolim, aut quod velim non credendi?</span>""  And long after these, Gregory of Rome, lib. ii."
8,ch015,lib. x,lib,True,False,Eusebius of Caesarea,Ecclesiastical History,"s, should have liberty to keep the faith of their religion and heresy,"" Euseb., Ecclesiastes Hist.,"
8,ch015,lib. i,lib,True,False,Socrates Scholasticus,Ecclesiastical History,"l, nor would by any means be prevailed on to lay down their malice and animosities,"" Socrat. Hist.,"
8,ch015,lib. i,lib,False,False,,,", new banishments of other persons, follow one upon the neck of another, Rufin. Ecclesiastes Hist.,"
8,ch015,lib. i,lib,False,False,,,"l dissensions, by the lies, flatteries, equivocations of such as called themselves bishops, Rufin.,"
8,ch015,Epist. 7,epist,True,False,Leo the Great,Letters,"them by turbulent priests and aspiring prelates. Let the pope's letters to them witness this. Leo,"
8,ch015,lib. iv,lib,True,False,Socrates Scholasticus,Ecclesiastical History,"eror, who before had cruelly raged against all orthodox professors of the Deity of Christ, Socrat.,"
8,ch015,Epist. xcvii,epist,False,False,,,"to punish them appearing, you have in his epistle to Pliny, a provincial governor under him, Plin."
8,ch015,lib. iii,lib,False,False,Eusebius of Caesarea,,"governor under him, Plin.  Epist. xcvii.; which, though commended by Eusebius, Ecclesiastes Hist.,"
8,ch015,lib. vii,lib,True,False,Eusebius of Caesarea,Ecclesiastical History,"f so cursed a stock."" Decius, having reigned scarce two years, was slain with his children, Euseb.,"
8,ch015,lib. vii,lib,True,False,Eusebius of Caesarea,Ecclesiastical History,"rsia, was carried about in a cage, and being seventy years old, was at length flayed alive, Euseb.,"
8,ch015,lib. vii,lib,True,False,Eusebius of Caesarea,Ecclesiastical History,"f its inhabitants answered not the gray-headed old men that were in it before, Dionys. apud Euseb.,"
8,ch015,lib. vii,lib,True,False,Eusebius of Caesarea,Ecclesiastical History,"desires to see more of this, let him consult Tertul. Apol. et ad Scap.; Euseb. Ecclesiastes Hist.,"
8,ch015,lib. xviii,lib,True,False,Augustine of Hippo,The City of God,"ult Tertul. Apol. et ad Scap.; Euseb. Ecclesiastes Hist., lib. vii. cap. 21; August. de Civit. Dei,"
